,City/Town,Name of Property,Use**,Prior Rounds Applications,Proponent Name,Remaining Credit to Award,Total Awards,20% QRE,Qualified Rehab. $,Total Project Cost,HRC #,Entity,Part 2 Qualified Rehab. $,Part 2 Total Project Cost,Count_prior_rounds_applied
102,Boston / Roxbury,"Urban Edge Limited Partnership (UELP) / Washington Apartments, 7-9and 11-13 Dixwell St and 1989-1991 Columbus Ave",R,18,"Chrystal Kornegay, Curtis Henderson",105371.6,400000,505371.6,2526858,3616041,209,Urban Edge Limited Partnership,,,
116,Lawrence,"Saunders School, 243 South Broadway",R,18,Edward A. Fish,100000,400000,500000,2500000,4400000,217,Saunders School LLC  c/o Peabody Properties,,,
173,Falmouth,"Katherine Lee Bates House, 16 Main Street",R,18,David & Linda Newton,123484.47,0,123484.47,617422.36,750000,216,,,,
175,Greenfield,"Winslow Apartments, 130-134 Main Street & 11 Wells Street",C  R,17,John Cariddi,307469.4,500000,807469.4,4037347,9166759,191,Winslow Building Management LP,,,
202,Springfield,"Borinquen Apartments, 2772-2782 Main Street & 7 Greenwich Street",R,11,Heriberto Flores,117850,1800000,1017850,5089250,11327987,97,Borinquen Apartments Limited Partnership,,,
238,Lawrence,"New England Telephone Building, 226-232 Common Street",R,20,Larry Oaks,1183410,0,1183410,5917050,7765044,264,"232 Common St., LLC c/o Peabody Properties",,,
287,Worcester,"Worcester Boys' Club, 16 Salisbury Street",R,20,Steve Ricciardi,1181622,0,1181622,5908110,7282996,271,Ricciardi Group,,,
520,Northampton,Historic Gas Works Roundhouse &Annex  244 Main Street,"C, O",23,Robert Curran,608090.4,0,608090.4,3040452,4750000,321,Roundhouse Development  LLC,,,
560,Adams,"Mausert Block, 19-25 Park Street","C, R",22,Stephen Stenson,164800,0,164800,824000,1029000,299,Braytonville Properties llc,,,
616,Salem,"Salem Point Apartments, 64 Harbor Street",R,,Mickey Northcutt,84040.2,0,84040.2,420201,650480,371,Salem Point Limited Partnership c/o North Shore CDC,,,
617,Salem,"Salem Point Apartments, 64 1/2 Harbor Street",R,,Mickey Northcutt,95174,0,95174,475870,706148,372,Salem Point Limited Partnership c/o North Shore CDC,,,
618,Salem,"Salem Point Apartments, 20-22 Peabody Street",R,,Mickey Northcutt,254430,0,254430,1272150,2170842,373,Salem Point Limited Partnership c/o North Shore CDC,,,
619,Salem,"Salem Point Apartments, 38 Peabody Street",R,,Mickey Northcutt,154430.8,0,154430.8,772154,1225237,374,Salem Point Limited Partnership c/o North Shore CDC,,,
620,Salem,"Salem Point Apartments, 46 Peabody Street",R,,Mickey Northcutt,139985.2,0,139985.2,699926,1153009,375,Salem Point Limited Partnership c/o North Shore CDC,,,
621,Salem,"Salem Point Apartments, 17-19 Ward Street",R,,Mickey Northcutt,140085,0,140085,700425,1153508,376,Salem Point Limited Partnership c/o North Shore CDC,,,
622,Salem,"Salem Point Apartments, 23-25 Ward Street",R,,Mickey Northcutt,135780.6,0,135780.6,678903,1131986,377,Salem Point Limited Partnership c/o North Shore CDC,,,
623,Salem,"Salem Point Apartments, 41-43 Ward Street",R,,Mickey Northcutt,150929.4,0,150929.4,754647,1207730,378,Salem Point Limited Partnership c/o North Shore CDC,,,
624,Salem,"Salem Point Apartments, 45-49 Ward Street",R,,Mickey Northcutt,139974.6,0,139974.6,699873,1152956,379,Salem Point Limited Partnership c/o North Shore CDC,,,
625,Salem,"Salem Point Apartments, 52 Ward Street",R,,Mickey Northcutt,170106,0,170106,850530,1377880,380,Salem Point Limited Partnership c/o North Shore CDC,,,
781,Boston / South Boston,"Gate of Heaven School, 609 East Fourth Street",R,26,Mark Barer,2357714.2,0,2357714.2,11788571,17753435,388,609 East Fourth Street LLC,,,
795,Gardner,"Elm Street Fire Station, 58 Elm Street",R,,David Macchi,86175,0,86175,430875,434875,409,,,,
810,Lowell,"Gates Block, 307 Market Street","Artists' Studios, C",,Nicholas C. Sarris,278640,0,278640,1393200,1693200,413,Monarch Partners LLC,,,
911,Northampton,Williams House  7 Market Street,C,27,"T. Walker Metcalfe, IV & Kaitlin laRue",12348,0,12348,61740,63740,416,,,,
932,Westwood,"Colburn School, 668 High Street","C, R",27,Jeffrey Coffman,480936.2,0,480936.2,2404681,3284310,419,"Colburn School LLC, Coffman Realty",,,
942,Boston / Allston- Brighton,1293 Commonwealth Avenue,R,,Valerie Frias,122932.4,0,122932.4,614662,1263782,449,Allston Brighton Community Development Corporation,,,
943,Boston / Allston- Brighton,1295 Commonwealth Avenue,R,,Valerie Frias,245865,0,245865,1229325,2527563,450,Allston Brighton Community Development Corporation,,,
944,Boston / Allston- Brighton,1299 Commonwealth Avenue,R,,Valerie Frias,245865,0,245865,1229325,2527563,451,Allston Brighton Community Development Corporation,,,
945,Boston / Allston- Brighton,1301 Commonwealth Avenue,R,,Valerie Frias,245865,0,245865,1229325,2527563,452,Allston Brighton Community Development Corporation,,,
946,Boston / Allston- Brighton,1305 Commonwealth Avenue,R,,Valerie Frias,245865,0,245865,1229325,2527563,453,Allston Brighton Community Development Corporation,,,
947,Boston / Allston- Brighton,1309 Commonwealth Avenue,R,,Valerie Frias,245865,0,245865,1229325,2527563,454,Allston Brighton Community Development Corporation,,,
948,Boston / Back Bay,7 Cortes Street,R,28,Mark Winkeller,276946.4,0,276946.4,1384732,1916750,420,Caritas Acquisition LLC,,,
1056,Boston / Jamaica Plain,"John Scheffreen Block (Walnut Washington Apartments), 3222-3234 Washington Street",R,29,Salvatore Bosco,760361.6,0,760361.6,3801808,5466853,457,Urban Edge II LP,,,
1058,Boston / Roxbury,"Robert Treat Paine Corner Apartment House, 85 Windsor Street",R,29,C. Patrick Haydon,84000,0,84000,420000,772500,461,85 Windsor Street LLC,,,
1059,Boston  / Roxbury,"Simon Hurwitz Apartments (Walnut Washington Apartments), 11-15 Waldren Rd",R,29,Salvatore Bosco,628701,0,628701,3143505,4578255,462,Urban Edge II LP,,,
1060,Boston / Roxbury,"Walnut Park Apartments (Walnut Washington Apartments), 38 Walnut Park",R,29,Salvatore Bosco,416710.6,0,416710.6,2083553,3843730,463,Urban Edge II LP,,,
1073,Boston / South End,210 Northampton Street,R,29,Eliza Datta,198722.8,0,198722.8,993614,1194731,467,Historic South End Limited Partnership,,,
1074,Boston / South End,10 Darmouth Street,R,29,Eliza Datta,187498.4,0,187498.4,937492,1127249,464,Historic South End Limited Partnership,,,
1075,Boston / South End,149 Worcester Street,R,29,Eliza Datta,186337.2,0,186337.2,931686,1120268,465,Historic South End Limited Partnership,,,
1076,Boston / South End,153 Worcester Street,R,29,Eliza Datta,398109.2,0,398109.2,1990546,1393451,466,Historic South End Limited Partnership,,,
1077,Boston / South End,212 Northampton Street,R,29,Eliza Datta,170468.2,0,170468.2,852341,1024862,468,Historic South End Limited Partnership,,,
1078,Boston / South End,216 Northampton Street,R,29,Eliza Datta,155926.2,0,155926.2,779631,937435,469,Historic South End Limited Partnership,,,
1079,Boston / South End,220 Northampton Street,R,29,Eliza Datta,157529.6,0,157529.6,787648,947075,470,Historic South End Limited Partnership,,,
1080,Boston / South End,224 Northampton Street,R,29,Eliza Datta,135965.4,0,135965.4,679827,817430,471,Historic South End Limited Partnership,,,
1081,Boston / South End,23 Greenwich Park,R,29,Eliza Datta,170744.6,0,170744.6,853723,1026524,472,Historic South End Limited Partnership,,,
1082,Boston / South End,38 East Springfield Street,R,29,Eliza Datta,158469.6,0,158469.6,792348,952726,474,Historic South End Limited Partnership,,,
1083,Boston / South End,43 Dwight Street,R,29,Eliza Datta,141494.6,0,141494.6,707473,850672,475,Historic South End Limited Partnership,,,
1084,Boston / South End,45 Dwight Street,R,29,Eliza Datta,144757,0,144757,723785,870285,476,Historic South End Limited Partnership,,,
1085,Boston / South End,535 Massachusetts Ave,R,29,Eliza Datta,211274.4,0,211274.4,1056372,1270191,477,Historic South End Limited Partnership,,,
1086,Boston / South End,549-551 Massachusetts Avenue,R,29,Eliza Datta,524481.6,0,524481.6,2622408,3060594,478,Historic South End Limited Partnership,,,
1087,Boston / South End,794 Tremont Street,R,29,Eliza Datta,271212,0,271212,1356060,1630538,479,Historic South End Limited Partnership,,,
1088,Boston / South End,798 Tremont Street,R,29,Eliza Datta,155870.8,0,155870.8,779354,937102,480,Historic South End Limited Partnership,,,
1089,Boston / South End,800 Tremont Street,R,29,Eliza Datta,140997,0,140997,704985,847680,481,Historic South End Limited Partnership,,,
1090,Boston / South End,804 Tremont Street,R,29,Eliza Datta,138785.4,0,138785.4,693927,834384,482,Historic South End Limited Partnership,,,
1091,Boston / South End,808 Tremont Street,R,29,Eliza Datta,159575.4,0,159575.4,797877,959375,483,Historic South End Limited Partnership,,,
1092,Boston / South End,3 Columbus Square,R,29,Eliza Datta,318487.4,0,318487.4,1592437,1914761,473,Historic South End Limited Partnership,,,
1363,Boston / Downtown,"Wendell Phillips Building, 115 Chauncy Street",R,32,Eliza Datta,3005205,0,3005205,15026025,17438747,547,Chauncy House Community Corporation,,,
1403,New Bedford,"Masonic Building, 558 Pleasant Street (Phase 1 of 2)",R,32,Joseph Gioioso,32000,0,32000,160000,320000,569,The Horne Realty Trust,,,
1503,Montague,L Street Housing  110 L Street,R,33,Robert Obear,53000,0,53000,265000,280000,584,Pioneer Valley Redevelopers,,,
1511,Northampton,"Engineer's Cottage, 44 Round Hill Road",R,33,Peter Picknelly,57872.4,0,57872.4,289362,448000,588,"Historic Round Hill Summit, LLC c/o OPAL Real Estate Group",,,
1524,Salem,"Congress and Ward Apartments, 6 Ward Street",R,33,Mickey Northcutt,134585,0,134585,672925,1102881,598,Congress & Ward  LLC,,,
1590,Salem,"Rev. John J. Gray House / St. James Rectory, 161 Federal Street",R,34,Dan Botwinik,320400,0,320400,1602000,2348000,613,161 Federal Street  LLC,,,
1604,Worcester,"Wellington Street Apartments, The Thomas Hall Apartment House, 23 Wellington Street",R,,Lawrence Curtis,115014.6,0,115014.6,575073,1235942,625,Wellington Redevelopment 2 GPLLC,,,
1617,Ayer,"The American Red Cross Building, 176 Jackson Road",C,34,Anne Ferguson,87478,0,87478,437390,660362,604,DFWC Realty LLC,,,
1634,Boston / Roxbury,"Steam Engine Company No. 12 Fire House, 407 Dudley Street","R, C",35,Joe DiGangi,291636.4,0,291636.4,1458182,2019992,633,Firehouse Lofts LLC,,,
1651,Lancaster,"Abner Pollard House, 220 Old Common Road",O,35,Alden Wells,200636,0,200636,1003180,1036180,635,Robert F. Kennedy Children's Action Corps,,,
1654,Lee,"Lake House Inn on Laurel Lake, 615 Laurel Street",H,35,Marlee C. Barry,278179,0,278179,1390895,2299514,636,"Erin TerraFirma, LLC",,,
1697,Worcester,"Wellington Street Apartments, Medlinsky Apartment Building #1, 22 Ethan Allen Street",R,35,Lawrence Curtis,86261,0,86261,431305,926956,618,Wellington Redevelopment 2 GPLLC,,,
1698,Worcester,"Wellington Street Apartments, Medlinsky Apartment Building #2, 26 Ethan Allen Street",R,35,Lawrence Curtis,86261,0,86261,431305,926956,619,Wellington Redevelopment 2 GPLLC,,,
1720,Brookline,"The Mary McCabe House, 11 Manchester Road",R,34,Thomas Hu,15990,0,15990,79950,79950,609,,,,
1743,Natick,13 West Central Street,"R, C",36,Dean Calivas,870434.6,0,870434.6,4352173,7459195,677,Stonegate West Central LLC,,,
1955,Salem,"Pickering Dodge House, 35 Chestnut Street",R,,Philip Gillespie,251870,0,251870,1259350,2094330,763,,,,
1967,Springfield,"New Court Terrace: FrederickB. Taylor Block, 76 Byers Street",R,38,Peter Gagliardi,166766,0,166766,833830,1104750,742,"HAP, Inc.",,,
1968,Springfield,"New Court Terrace: William Birnie Block, 68-70 Byers Street",R,38,Peter Gagliardi,157086.4,0,157086.4,785432,1177776,743,"HAP, Inc.",,,
2193,Haverhill,"St. Gregory School, 108 Harrison Street",R,40,William F. Lipchitz,1013757.4,0,1013757.4,5068787,8638007,788,Common Ground Development Corporation,,,
2477,Worcester,"MJ Whittall, Mill Building #2, 6 Brussels Street","C, O",42,Lisa Dileo,121285.32,0,121285.32,606426.6,671901.6,836,MJ Whittall  LLC,,,
